邻居细胞,发送通道数,接收通道数,总通道数,发送总强度,接收总强度,通讯总强度,发送平均强度,接收平均强度,总平均强度
Connective tissue,87,217,304,32.242999999999995,77.00300000000003,109.24600000000002,0.3706091954022988,0.3548525345622121,0.35936184210526323
Sclerotome,149,130,279,55.73199999999999,51.00700000000002,106.739,0.3740402684563758,0.3923615384615386,0.38257706093189964
Heart,60,110,170,27.026000000000018,50.03599999999999,77.06200000000001,0.45043333333333363,0.45487272727272715,0.4533058823529412
Dermomyotome,71,106,177,26.544,40.213000000000015,66.75700000000002,0.3738591549295775,0.37936792452830204,0.3771581920903956
AGM,97,97,194,33.05499999999999,33.05499999999999,66.10999999999999,0.34077319587628857,0.34077319587628857,0.34077319587628857
Liver,65,76,141,23.372000000000007,33.26600000000001,56.63800000000002,0.35956923076923086,0.43771052631578966,0.4016879432624115
Mesenchyme,27,92,119,11.206,32.830999999999996,44.03699999999999,0.41503703703703704,0.3568586956521739,0.3700588235294117
Brain,17,15,32,13.252,15.516000000000002,28.768,0.7795294117647059,1.0344000000000002,0.899
AGM_1_123_Target,17,22,39,7.185,7.059,14.244,0.4226470588235294,0.32086363636363635,0.36523076923076925
Cavity,7,16,23,3.27,4.429000000000001,7.699000000000002,0.46714285714285714,0.2768125000000001,0.3347391304347827
