邻居细胞,通道数量,总强度,平均强度,最大强度,最小强度
Sclerotome,149,55.73199999999999,0.3740402684563758,0.895,0.09
AGM,97,33.05499999999999,0.34077319587628857,1.159,0.098
Connective tissue,87,32.242999999999995,0.3706091954022988,1.767,0.09
Heart,60,27.026000000000018,0.45043333333333363,2.346,0.192
Dermomyotome,71,26.544,0.3738591549295775,1.186,0.122
Liver,65,23.372000000000007,0.35956923076923086,1.356,0.118
Brain,17,13.252,0.7795294117647059,1.474,0.429
Mesenchyme,27,11.206,0.41503703703703704,0.869,0.168
AGM_1_123_Target,17,7.185,0.4226470588235294,0.881,0.109
Cavity,7,3.27,0.46714285714285714,0.503,0.443
