邻居细胞,通道数量,总强度,平均强度,最大强度,最小强度
Connective tissue,217,77.00300000000003,0.3548525345622121,1.861,0.091
Sclerotome,130,51.00700000000002,0.3923615384615386,1.748,0.103
Heart,110,50.03599999999999,0.45487272727272715,1.94,0.101
Dermomyotome,106,40.213000000000015,0.37936792452830204,1.665,0.088
Liver,76,33.26600000000001,0.43771052631578966,1.684,0.112
AGM,97,33.05499999999999,0.34077319587628857,1.159,0.098
Mesenchyme,92,32.830999999999996,0.3568586956521739,1.343,0.115
Brain,15,15.516000000000002,1.0344000000000002,1.474,0.429
AGM_1_123_Target,22,7.059,0.32086363636363635,0.617,0.124
Cavity,16,4.429000000000001,0.2768125000000001,0.654,0.1
