邻居细胞,发送通道数,接收通道数,总通道数,发送总强度,接收总强度,通讯总强度,发送平均强度,接收平均强度,总平均强度
Neural crest,168,168,336,74.36200000000001,74.36200000000001,148.72400000000002,0.44263095238095246,0.44263095238095246,0.44263095238095246
Neural crest_1_70_Target,117,118,235,63.10200000000002,56.284000000000006,119.38600000000002,0.5393333333333334,0.4769830508474577,0.5080255319148937
AGM,98,154,252,50.276999999999994,60.791999999999994,111.06899999999999,0.5130306122448979,0.39475324675324674,0.44075
Branchial arch,112,116,228,54.69599999999999,51.769,106.46499999999999,0.48835714285714277,0.44628448275862065,0.46695175438596487
Notochord,97,127,224,49.629,55.508,105.137,0.511639175257732,0.4370708661417323,0.46936160714285713
Sclerotome,86,103,189,42.78099999999999,52.291999999999994,95.07299999999998,0.4974534883720929,0.5076893203883495,0.5030317460317459
Brain,106,101,207,49.619,34.774999999999984,84.39399999999998,0.4681037735849057,0.34430693069306917,0.4077004830917873
Liver,53,73,126,27.046,32.852,59.897999999999996,0.5103018867924528,0.4500273972602739,0.47538095238095235
Cavity,44,24,68,23.76000000000001,5.949999999999999,29.710000000000008,0.5400000000000001,0.24791666666666665,0.43691176470588244
