邻居细胞,发送通道数,接收通道数,总通道数,发送总强度,接收总强度,通讯总强度,发送平均强度,接收平均强度,总平均强度,细胞接收平均强度,细胞发送平均强度
Neural crest,118,150,268,49.29299999999999,62.90699999999999,112.19999999999999,0.41773728813559313,0.4193799999999999,0.4186567164179104,0.3554067796610169,0.2784915254237288
Sclerotome,146,132,278,49.88400000000002,51.310999999999986,101.19500000000001,0.34167123287671247,0.3887196969696969,0.3640107913669065,0.2898926553672316,0.2818305084745764
Connective tissue,82,194,276,27.872,72.05300000000005,99.92500000000005,0.33990243902439027,0.37140721649484565,0.36204710144927554,0.40707909604519804,0.1574689265536723
Heart,108,133,241,38.39799999999999,56.498999999999995,94.89699999999999,0.35553703703703693,0.42480451127819546,0.3937634854771784,0.31920338983050844,0.21693785310734456
Branchial arch,68,109,177,30.506000000000007,42.709999999999994,73.21600000000001,0.4486176470588236,0.39183486238532106,0.4136497175141243,0.24129943502824855,0.17235028248587575
AGM,106,106,212,33.30499999999999,33.30499999999999,66.60999999999999,0.3141981132075471,0.3141981132075471,0.3141981132075471,0.18816384180790957,0.18816384180790957
Dermomyotome,74,95,169,26.558999999999997,37.22,63.778999999999996,0.3589054054054054,0.3917894736842105,0.37739053254437865,0.21028248587570622,0.15005084745762712
AGM_1_29_Target,112,75,187,31.797,29.052,60.849000000000004,0.2839017857142857,0.38736,0.3253957219251337,0.164135593220339,0.17964406779661019
Liver,80,70,150,24.377999999999993,31.325999999999997,55.70399999999999,0.3047249999999999,0.4475142857142857,0.37135999999999997,0.1769830508474576,0.13772881355932198
Mesenchyme,29,98,127,10.165,31.735999999999997,41.900999999999996,0.35051724137931034,0.3238367346938775,0.32992913385826766,0.17929943502824858,0.05742937853107344
Brain,23,16,39,17.599999999999998,16.409,34.009,0.7652173913043477,1.0255625,0.8720256410256411,0.09270621468926553,0.09943502824858756
Cavity,3,3,6,1.136,0.935,2.0709999999999997,0.37866666666666665,0.3116666666666667,0.3451666666666666,0.005282485875706215,0.006418079096045197
