邻居细胞,通道数量,总强度,平均强度,最大强度,最小强度
Sclerotome,146,49.88400000000002,0.34167123287671247,0.816,0.116
Neural crest,118,49.29299999999999,0.41773728813559313,1.277,0.103
Heart,108,38.39799999999999,0.35553703703703693,2.262,0.091
AGM,106,33.30499999999999,0.3141981132075471,0.722,0.096
AGM_1_29_Target,112,31.797,0.2839017857142857,0.808,0.085
Branchial arch,68,30.506000000000007,0.4486176470588236,2.011,0.108
Connective tissue,82,27.872,0.33990243902439027,1.227,0.096
Dermomyotome,74,26.558999999999997,0.3589054054054054,0.915,0.114
Liver,80,24.377999999999993,0.3047249999999999,1.356,0.108
Brain,23,17.599999999999998,0.7652173913043477,1.427,0.439
Mesenchyme,29,10.165,0.35051724137931034,0.753,0.107
Cavity,3,1.136,0.37866666666666665,0.435,0.275
