邻居细胞,方向,排名,通道,目标细胞,目标细胞基因,邻居细胞基因,强度,显著性
Neural crest,接收,9,FLRT2_ADGRL1,Cavity,ADGRL1,FLRT2,0.333,0.001
Neural crest,接收,10,WNT5A_FZD10_LRP6,Cavity,FZD10,WNT5A,0.296,0.012
Notochord,发送,1,WNT5A_SFRP1,Cavity,WNT5A,SFRP1,0.878,0.0
Notochord,发送,2,DLK1_NOTCH1,Cavity,DLK1,NOTCH1,0.768,0.0
Notochord,发送,3,COL3A1_ADGRG1,Cavity,COL3A1,ADGRG1,0.727,0.0
Notochord,发送,4,CADM1_NECTIN3,Cavity,CADM1,NECTIN3,0.726,0.022
Notochord,发送,5,NECTIN2_NECTIN3,Cavity,NECTIN2,NECTIN3,0.636,0.0
Notochord,发送,6,JAG1_NOTCH1,Cavity,JAG1,NOTCH1,0.624,0.0
Notochord,发送,7,DLL1_NOTCH1,Cavity,DLL1,NOTCH1,0.623,0.0
Notochord,发送,8,JAM3_JAM3,Cavity,JAM3,JAM3,0.617,0.001
Notochord,发送,9,JAM2_JAM3,Cavity,JAM2,JAM3,0.527,0.001
Notochord,发送,10,BMPR1B_BMPR2_BMPR1A,Cavity,BMPR1B,BMPR2,0.498,0.009
Notochord,接收,1,FN1_integrin_aVb1_complex,Cavity,integrin,FN1,0.871,0.0
Notochord,接收,2,FN1_integrin_aVb5_complex,Cavity,integrin,FN1,0.842,0.0
Notochord,接收,3,NTN1_UNC5C,Cavity,UNC5C,NTN1,0.807,0.0
Notochord,接收,4,NTN1_DCC,Cavity,DCC,NTN1,0.785,0.0
Notochord,接收,5,SHH_PTCH_GAS1_transmembrane_receptor,Cavity,PTCH,SHH,0.689,0.0
Notochord,接收,6,SHH_PTCH_CDON_transmembrane_receptor,Cavity,PTCH,SHH,0.689,0.0
Notochord,接收,7,EFNB3_EPHB2,Cavity,EPHB2,EFNB3,0.689,0.0
Notochord,接收,8,SLIT2_ROBO1,Cavity,ROBO1,SLIT2,0.674,0.0
Notochord,接收,9,EFNB3_EPHA4,Cavity,EPHA4,EFNB3,0.655,0.0
Notochord,接收,10,JAM3_JAM3,Cavity,JAM3,JAM3,0.617,0.001
Sclerotome,发送,1,CDH6_CDH6,Cavity,CDH6,CDH6,1.295,0.0
Sclerotome,发送,2,CADM1_CADM1,Cavity,CADM1,CADM1,1.107,0.011
Sclerotome,发送,3,COL18A1_integrin_a1b1_complex,Cavity,COL18A1,integrin,0.795,0.015
Sclerotome,发送,4,COL3A1_integrin_a1b1_complex,Cavity,COL3A1,integrin,0.715,0.013
Sclerotome,发送,5,COL2A1_integrin_a1b1_complex,Cavity,COL2A1,integrin,0.712,0.03
Sclerotome,发送,6,COL4A1_integrin_a1b1_complex,Cavity,COL4A1,integrin,0.684,0.017
Sclerotome,发送,7,COL1A2_integrin_a1b1_complex,Cavity,COL1A2,integrin,0.577,0.025
Sclerotome,发送,8,WNT5A_ROR1,Cavity,WNT5A,ROR1,0.544,0.02
Sclerotome,发送,9,COL4A2_integrin_a1b1_complex,Cavity,COL4A2,integrin,0.539,0.002
Sclerotome,发送,10,COL19A1_integrin_a1b1_complex,Cavity,COL19A1,integrin,0.535,0.012
Sclerotome,接收,1,CDH6_CDH6,Cavity,CDH6,CDH6,1.295,0.0
Sclerotome,接收,2,COL3A1_ADGRG1,Cavity,ADGRG1,COL3A1,1.109,0.006
Sclerotome,接收,3,CADM1_CADM1,Cavity,CADM1,CADM1,1.107,0.011
Sclerotome,接收,4,CADM1_NECTIN3,Cavity,NECTIN3,CADM1,1.101,0.006
Sclerotome,接收,5,DLK1_NOTCH3,Cavity,NOTCH3,DLK1,0.781,0.038
Sclerotome,接收,6,MSTN_TGFR_AVR2B,Cavity,TGFR,MSTN,0.721,0.0
Sclerotome,接收,7,MSTN_TGFR_AVR2A,Cavity,TGFR,MSTN,0.663,0.0
Sclerotome,接收,8,CLSTN1_NRXN3,Cavity,NRXN3,CLSTN1,0.61,0.009
Sclerotome,接收,9,BMP4_BMR1A_AVR2B,Cavity,BMR1A,BMP4,0.496,0.029
Sclerotome,接收,10,BMP4_BMR1B_AVR2B,Cavity,BMR1B,BMP4,0.444,0.026
