邻居细胞,方向,排名,通道,目标细胞,目标细胞基因,邻居细胞基因,强度,显著性
Brain,发送,1,WNT5A_SFRP2,Cavity,WNT5A,SFRP2,0.674,0.0
Brain,发送,2,NTN1_DCC,Cavity,NTN1,DCC,0.669,0.0
Brain,发送,3,NTN1_UNC5C,Cavity,NTN1,UNC5C,0.62,0.0
Brain,发送,4,WNT5B_SFRP2,Cavity,WNT5B,SFRP2,0.617,0.0
Brain,发送,5,DLK1_NOTCH1,Cavity,DLK1,NOTCH1,0.617,0.0
Brain,发送,6,SHH_PTCH_GAS1_transmembrane_receptor,Cavity,SHH,PTCH,0.517,0.018
Brain,发送,7,SHH_PTCH_CDON_transmembrane_receptor,Cavity,SHH,PTCH,0.517,0.0
Brain,发送,8,TENM4_ADGRL3,Cavity,TENM4,ADGRL3,0.49,0.004
Brain,发送,9,JAG1_NOTCH1,Cavity,JAG1,NOTCH1,0.455,0.008
Brain,发送,10,DLK1_NOTCH2,Cavity,DLK1,NOTCH2,0.453,0.04
Brain,接收,1,EFNA5_EPHB2,Cavity,EPHB2,EFNA5,0.538,0.006
Brain,接收,2,DAG1_NRXN3,Cavity,NRXN3,DAG1,0.475,0.001
Brain,接收,3,EFNB2_EPHB2,Cavity,EPHB2,EFNB2,0.421,0.021
Brain,接收,4,TENM2_ADGRL1,Cavity,ADGRL1,TENM2,0.345,0.004
Brain,接收,5,CLSTN1_NRXN3,Cavity,NRXN3,CLSTN1,0.295,0.038
Brain,接收,6,NLGN1_NRXN3,Cavity,NRXN3,NLGN1,0.278,0.005
Brain,接收,7,NLGN2_NRXN3,Cavity,NRXN3,NLGN2,0.138,0.026
Brain,接收,8,CHL1_CHL1,Cavity,CHL1,CHL1,0.097,0.026
Cavity,发送,1,CHL1_CHL1,Cavity,CHL1,CHL1,0.115,0.027
Cavity,接收,1,CHL1_CHL1,Cavity,CHL1,CHL1,0.115,0.027
Cavity_1_37_Target,发送,1,DLK1_NOTCH3,Cavity,DLK1,NOTCH3,0.47,0.039
Cavity_1_37_Target,接收,1,VTN_integrin_aVb1_complex,Cavity,integrin,VTN,0.451,0.008
Cavity_1_37_Target,接收,2,SEMA6D_PlexinA1_complex1,Cavity,PlexinA1,SEMA6D,0.269,0.009
Cavity_1_37_Target,接收,3,GDF11_TGFR_AVR2B,Cavity,TGFR,GDF11,0.251,0.021
Cavity_1_37_Target,接收,4,VCAM1_integrin_a9b1_complex,Cavity,integrin,VCAM1,0.235,0.024
Neural crest,发送,1,MPZL1_MPZL1,Cavity,MPZL1,MPZL1,0.713,0.012
Neural crest,发送,2,FN1_integrin_a4b1_complex,Cavity,FN1,integrin,0.688,0.013
