邻居细胞,发送通道数,接收通道数,总通道数,发送总强度,接收总强度,通讯总强度,发送平均强度,接收平均强度,总平均强度,细胞接收平均强度,细胞发送平均强度,平均发送通道数,平均接收通道数,总平均通道数
Heart,34,46,80,16.489,21.31,37.799,0.48497058823529415,0.46326086956521734,0.4724875,0.29191780821917807,0.22587671232876713,0.4657534246575342,0.6301369863013698,1.095890410958904
Notochord,35,25,60,17.014999999999997,14.201,31.215999999999998,0.48614285714285704,0.56804,0.5202666666666667,0.19453424657534246,0.23308219178082187,0.4794520547945205,0.3424657534246575,0.821917808219178
Dermomyotome,11,29,40,7.071,18.823,25.894,0.6428181818181818,0.6490689655172414,0.64735,0.2578493150684932,0.09686301369863014,0.1506849315068493,0.3972602739726027,0.547945205479452
Sclerotome,28,21,49,10.793,12.274999999999999,23.067999999999998,0.3854642857142857,0.5845238095238094,0.4707755102040816,0.16815068493150684,0.14784931506849314,0.3835616438356164,0.2876712328767123,0.6712328767123288
Branchial arch,26,17,43,8.713000000000001,12.324,21.037,0.33511538461538465,0.7249411764705882,0.48923255813953487,0.16882191780821917,0.11935616438356166,0.3561643835616438,0.2328767123287671,0.589041095890411
Mesenchyme,6,22,28,1.975,11.4,13.375,0.32916666666666666,0.5181818181818182,0.47767857142857145,0.15616438356164383,0.027054794520547945,0.0821917808219178,0.3013698630136986,0.3835616438356164
Neural crest,9,11,20,2.4200000000000004,8.183,10.603,0.26888888888888896,0.7439090909090909,0.53015,0.1120958904109589,0.03315068493150686,0.1232876712328767,0.1506849315068493,0.273972602739726
AGM,8,4,12,4.5889999999999995,3.643,8.232,0.5736249999999999,0.91075,0.6859999999999999,0.049904109589041096,0.06286301369863014,0.1095890410958904,0.0547945205479452,0.1643835616438356
Brain,13,4,17,5.664,1.156,6.819999999999999,0.43569230769230766,0.289,0.40117647058823525,0.015835616438356164,0.0775890410958904,0.1780821917808219,0.0547945205479452,0.2328767123287671
