邻居细胞,发送通道数,接收通道数,总通道数,发送总强度,接收总强度,通讯总强度,发送平均强度,接收平均强度,总平均强度
Heart_1_72_Target,116,132,248,57.15700000000002,63.231,120.38800000000002,0.4927327586206898,0.47902272727272727,0.4854354838709678
Branchial arch,149,85,234,57.592999999999975,40.988,98.58099999999997,0.3865302013422817,0.48221176470588234,0.42128632478632466
Heart,101,101,202,48.776,48.776,97.552,0.48293069306930697,0.48293069306930697,0.48293069306930697
Neural crest,120,98,218,49.49699999999999,43.052000000000014,92.549,0.4124749999999999,0.4393061224489797,0.42453669724770643
AGM,102,84,186,42.10500000000002,34.568,76.67300000000002,0.412794117647059,0.4115238095238095,0.41222043010752696
Connective tissue,48,68,116,26.693999999999992,38.410000000000004,65.104,0.5561249999999999,0.5648529411764707,0.5612413793103448
Liver,71,52,123,28.119,26.974,55.093,0.39604225352112676,0.5187307692307692,0.4479105691056911
Notochord,17,30,47,14.158000000000001,26.186000000000003,40.34400000000001,0.8328235294117647,0.8728666666666668,0.8583829787234044
Cavity,21,14,35,11.711,5.5,17.211,0.5576666666666666,0.39285714285714285,0.4917428571428571
