邻居细胞,发送通道数,接收通道数,总通道数,发送总强度,接收总强度,通讯总强度,发送平均强度,接收平均强度,总平均强度
Notochord,122,125,247,52.68300000000001,56.034000000000006,108.71700000000001,0.43182786885245905,0.44827200000000006,0.44014979757085027
Neural crest,123,118,241,43.06599999999999,56.12400000000001,99.19,0.3501300813008129,0.47562711864406787,0.41157676348547717
Brain,121,121,242,42.212,42.212,84.424,0.34885950413223143,0.34885950413223143,0.34885950413223143
Brain_1_16_Target,101,108,209,39.669999999999995,43.53800000000002,83.20800000000001,0.39277227722772273,0.4031296296296298,0.39812440191387566
Branchial arch,32,61,93,10.023000000000001,32.805,42.828,0.31321875000000005,0.5377868852459017,0.4605161290322581
Sclerotome,18,47,65,12.455,30.012999999999998,42.467999999999996,0.6919444444444445,0.6385744680851063,0.6533538461538461
Cavity,0,5,5,0.0,2.2439999999999998,2.2439999999999998,0.0,0.4488,0.4488
