邻居细胞,通道数量,总强度,平均强度,最大强度,最小强度
Notochord,122,52.68300000000001,0.43182786885245905,1.136,0.102
Neural crest,123,43.06599999999999,0.3501300813008129,1.176,0.099
Brain,121,42.212,0.34885950413223143,1.132,0.101
Brain_1_16_Target,101,39.669999999999995,0.39277227722772273,0.912,0.1
Sclerotome,18,12.455,0.6919444444444445,1.424,0.286
Branchial arch,32,10.023000000000001,0.31321875000000005,1.407,0.13
Cavity,0,0.0,0.0,0.0,0.0
