邻居细胞,发送通道数,接收通道数,总通道数,发送总强度,接收总强度,通讯总强度,发送平均强度,接收平均强度,总平均强度,细胞接收平均强度,细胞发送平均强度
Brain,166,166,332,58.239000000000004,58.239000000000004,116.47800000000001,0.35083734939759037,0.35083734939759037,0.35083734939759037,0.5942755102040816,0.5942755102040816
Neural crest,159,138,297,52.51099999999999,57.09799999999999,109.60899999999998,0.33025786163522003,0.41375362318840575,0.36905387205387197,0.5826326530612244,0.5358265306122448
Brain_1_1_Target,53,205,258,17.672,74.69999999999999,92.37199999999999,0.33343396226415095,0.36439024390243896,0.3580310077519379,0.7622448979591836,0.1803265306122449
Sclerotome,56,63,119,26.145000000000007,35.791,61.93600000000001,0.4668750000000001,0.568111111111111,0.5204705882352941,0.36521428571428566,0.26678571428571435
Mesenchyme,55,93,148,17.043,39.771999999999984,56.81499999999998,0.30987272727272724,0.42765591397849445,0.383885135135135,0.4058367346938774,0.17390816326530611
Notochord,13,13,26,6.981,11.485999999999999,18.467,0.537,0.8835384615384615,0.7102692307692308,0.11720408163265306,0.07123469387755102
Cavity,0,26,26,0.0,7.839000000000001,7.839000000000001,0.0,0.30150000000000005,0.30150000000000005,0.07998979591836736,0.0
