邻居细胞,通道数量,总强度,平均强度,最大强度,最小强度
Brain,253,81.11700000000009,0.32062055335968415,1.109,0.1
Neural crest,129,58.657,0.4547054263565891,1.551,0.108
Mesenchyme,86,35.998,0.4185813953488372,1.461,0.118
Sclerotome,57,32.69199999999999,0.5735438596491227,1.27,0.199
Brain_1_41_Target,78,31.721000000000004,0.4066794871794872,1.25,0.125
Notochord,51,28.893999999999995,0.566549019607843,1.464,0.257
Cavity,16,5.8950000000000005,0.36843750000000003,0.644,0.179
