邻居细胞,发送通道数,接收通道数,总通道数,发送总强度,接收总强度,通讯总强度,发送平均强度,接收平均强度,总平均强度
Heart,13,10,23,6.9190000000000005,8.562999999999999,15.482,0.5322307692307693,0.8562999999999998,0.6731304347826087
Notochord,11,11,22,5.453,7.973999999999999,13.427,0.49572727272727274,0.7249090909090908,0.6103181818181818
Mesenchyme,5,23,28,1.661,8.106000000000002,9.767000000000001,0.3322,0.3524347826086957,0.3488214285714286
Liver,3,9,12,1.7129999999999999,5.815,7.5280000000000005,0.571,0.6461111111111112,0.6273333333333334
Connective tissue,2,12,14,0.7450000000000001,6.696,7.441,0.37250000000000005,0.5579999999999999,0.5315
Dermomyotome,2,10,12,1.101,6.013,7.114,0.5505,0.6013,0.5928333333333333
Branchial arch,5,10,15,2.731,3.9219999999999997,6.653,0.5462,0.3922,0.4435333333333333
Sclerotome,6,6,12,2.249,3.231,5.48,0.37483333333333335,0.5385,0.4566666666666667
Brain,3,7,10,1.3699999999999999,2.5589999999999997,3.9289999999999994,0.4566666666666666,0.36557142857142855,0.3928999999999999
AGM,3,2,5,0.912,0.6930000000000001,1.605,0.304,0.34650000000000003,0.321
Neural crest,2,2,4,0.997,0.487,1.484,0.4985,0.2435,0.371
