邻居细胞,通道数量,总强度,平均强度,最大强度,最小强度
Heart,13,6.9190000000000005,0.5322307692307693,2.002,0.176
Notochord,11,5.453,0.49572727272727274,0.925,0.255
Branchial arch,5,2.731,0.5462,1.088,0.247
Sclerotome,6,2.249,0.37483333333333335,0.525,0.27
Liver,3,1.7129999999999999,0.571,0.961,0.264
Mesenchyme,5,1.661,0.3322,0.452,0.215
Brain,3,1.3699999999999999,0.4566666666666666,0.563,0.384
Dermomyotome,2,1.101,0.5505,0.749,0.352
Neural crest,2,0.997,0.4985,0.641,0.356
AGM,3,0.912,0.304,0.475,0.19
Connective tissue,2,0.7450000000000001,0.37250000000000005,0.464,0.281
