邻居细胞,通道数量,总强度,平均强度,最大强度,最小强度
AGM,102,33.53699999999999,0.32879411764705874,1.657,0.114
Dermomyotome,86,33.046,0.38425581395348835,1.605,0.105
Sclerotome,77,29.198999999999998,0.37920779220779216,1.802,0.145
Mesenchyme_1_91_Target,31,18.914,0.6101290322580646,1.802,0.159
Mesenchyme,43,16.878,0.39251162790697675,1.338,0.14
Connective tissue,31,16.459,0.5309354838709678,2.021,0.177
Liver,26,15.883999999999997,0.6109230769230768,1.915,0.233
