cell_type,cluster_id,cell_num,x,y,distance_to_target,compactness
AGM,target,54,121.9,161.4,0.0,0.0
Brain,single_cluster,1,137.0,168.0,16.5,0.0
Branchial arch,single_cluster,8,131.0,183.6,24.0,4.56
Cavity,single_cluster,119,121.3,164.6,3.2,20.38
Connective tissue,single_cluster,133,103.4,163.1,18.6,10.5
Dermomyotome,single_cluster,218,116.8,153.8,9.1,17.15
Heart,single_cluster,98,122.0,178.0,16.6,7.06
Liver,single_cluster,96,124.7,170.6,9.7,7.49
Mesenchyme,single_cluster,123,123.5,149.9,11.6,13.48
Neural crest,single_cluster,20,138.3,183.0,27.2,3.02
Sclerotome,single_cluster,90,136.4,164.1,14.8,6.3
