邻居细胞,通道数量,总强度,平均强度,最大强度,最小强度
Sclerotome,149,54.27899999999998,0.36428859060402674,0.871,0.113
Neural crest,106,48.401,0.45661320754716983,1.721,0.12
AGM_1_118_Target,118,41.63000000000002,0.35279661016949165,1.735,0.105
Heart,111,40.751000000000005,0.36712612612612616,2.273,0.091
AGM,111,36.48099999999997,0.3286576576576574,1.132,0.094
Branchial arch,74,34.218,0.4624054054054055,2.024,0.112
Dermomyotome,78,27.981999999999996,0.35874358974358966,1.156,0.12
Connective tissue,58,23.878,0.4116896551724138,1.792,0.114
Liver,74,23.708000000000006,0.32037837837837846,1.351,0.102
Brain,21,15.594,0.7425714285714285,1.43,0.439
Mesenchyme,28,9.894,0.35335714285714287,0.779,0.099
Cavity,8,2.788,0.3485,0.756,0.092
