邻居细胞,发送通道数,接收通道数,总通道数,发送总强度,接收总强度,通讯总强度,发送平均强度,接收平均强度,总平均强度,细胞接收平均强度,细胞发送平均强度
Brain,175,175,350,57.85000000000001,57.85000000000001,115.70000000000002,0.3305714285714286,0.3305714285714286,0.3305714285714286,0.5211711711711713,0.5211711711711713
Neural crest,183,153,336,51.44099999999999,60.632000000000005,112.073,0.2810983606557376,0.3962875816993464,0.3335505952380952,0.5462342342342342,0.4634324324324323
Sclerotome,61,59,120,28.782,32.905,61.687,0.4718360655737705,0.5577118644067797,0.5140583333333333,0.29644144144144147,0.2592972972972973
Branchial arch,44,46,90,26.128,35.164,61.292,0.5938181818181818,0.7644347826086957,0.6810222222222222,0.3167927927927928,0.23538738738738738
Brain_1_0_Target,67,81,148,26.520999999999997,29.852,56.373,0.39583582089552233,0.3685432098765432,0.38089864864864864,0.26893693693693693,0.2389279279279279
Mesenchyme,56,83,139,17.215000000000003,37.223,54.438,0.30741071428571437,0.44846987951807227,0.3916402877697842,0.33534234234234234,0.15509009009009012
Cavity,0,2,2,0.0,0.76,0.76,0.0,0.38,0.38,0.006846846846846847,0.0
