邻居细胞,发送通道数,接收通道数,总通道数,发送总强度,接收总强度,通讯总强度,发送平均强度,接收平均强度,总平均强度,细胞接收平均强度,细胞发送平均强度,平均发送通道数,平均接收通道数,总平均通道数
Notochord,134,138,272,59.237,53.032,112.269,0.44206716417910447,0.3842898550724637,0.41275367647058825,0.53032,0.5923700000000001,1.34,1.38,2.72
Neural crest,137,137,274,53.001999999999995,53.001999999999995,106.00399999999999,0.38687591240875907,0.38687591240875907,0.38687591240875907,0.5300199999999999,0.5300199999999999,1.37,1.37,2.74
Neural crest_1_14_Target,115,124,239,48.89999999999999,50.881,99.78099999999999,0.42521739130434777,0.4103306451612903,0.41749372384937233,0.50881,0.48899999999999993,1.15,1.24,2.39
Brain,127,94,221,54.479000000000006,29.388999999999996,83.868,0.4289685039370079,0.3126489361702127,0.3794932126696832,0.29389,0.5447900000000001,1.27,0.94,2.21
Branchial arch,78,95,173,36.473,42.43,78.90299999999999,0.46760256410256407,0.44663157894736844,0.4560867052023121,0.4243,0.36473,0.78,0.95,1.73
Sclerotome,14,46,60,9.023,37.50000000000001,46.52300000000001,0.6445,0.815217391304348,0.7753833333333335,0.37500000000000006,0.09022999999999999,0.14,0.46,0.6
Cavity,14,22,36,9.163,7.632000000000001,16.795,0.6545,0.34690909090909094,0.4665277777777778,0.07632,0.09163,0.14,0.22,0.36
