邻居细胞,通道数量,总强度,平均强度,最大强度,最小强度
Neural crest,169,66.30299999999998,0.39232544378698214,1.636,0.106
Notochord,154,60.25899999999999,0.39129220779220775,1.139,0.104
Branchial arch,110,50.75500000000001,0.461409090909091,1.865,0.101
Mesenchyme,51,43.22500000000001,0.8475490196078433,1.32,0.483
Sclerotome,74,36.87,0.4982432432432432,1.201,0.134
Brain,119,36.849,0.30965546218487394,1.203,0.104
Neural crest_1_15_Target,79,32.23799999999999,0.4080759493670885,1.461,0.114
AGM,22,17.315,0.7870454545454546,1.965,0.36
Cavity,13,5.536,0.4258461538461538,1.159,0.222
