邻居细胞,发送通道数,接收通道数,总通道数,发送总强度,接收总强度,通讯总强度,发送平均强度,接收平均强度,总平均强度,细胞接收平均强度,细胞发送平均强度,平均发送通道数,平均接收通道数,总平均通道数
Neural crest,124,107,231,50.225999999999985,47.817,98.04299999999998,0.4050483870967741,0.44688785046728974,0.4244285714285713,0.3166688741721854,0.33262251655629127,0.8211920529801324,0.7086092715231788,1.5298013245033113
Branchial arch,83,104,187,39.81,44.981999999999985,84.79199999999999,0.4796385542168675,0.4325192307692306,0.4534331550802138,0.29789403973509926,0.2636423841059603,0.5496688741721855,0.6887417218543046,1.2384105960264902
Sclerotome,108,96,204,40.845,39.21800000000001,80.06300000000002,0.37819444444444444,0.40852083333333344,0.3924656862745099,0.25972185430463585,0.27049668874172184,0.7152317880794702,0.6357615894039735,1.3509933774834437
Heart,64,106,170,25.567000000000004,42.61999999999999,68.187,0.39948437500000006,0.40207547169811314,0.4011,0.282251655629139,0.169317880794702,0.423841059602649,0.7019867549668874,1.1258278145695364
Connective tissue,35,81,116,13.749,42.062000000000005,55.81100000000001,0.39282857142857147,0.519283950617284,0.48112931034482764,0.2785562913907285,0.09105298013245033,0.23178807947019867,0.5364238410596026,0.7682119205298014
AGM_1_24_Target,58,61,119,24.737,18.728,43.465,0.4265,0.307016393442623,0.36525210084033616,0.12402649006622518,0.16382119205298012,0.3841059602649007,0.40397350993377484,0.7880794701986755
Dermomyotome,42,61,103,18.195,23.871999999999993,42.06699999999999,0.4332142857142857,0.39134426229508185,0.4084174757281553,0.15809271523178803,0.12049668874172186,0.2781456953642384,0.40397350993377484,0.6821192052980133
Liver,34,52,86,15.050999999999998,21.259,36.31,0.4426764705882352,0.4088269230769231,0.4222093023255814,0.14078807947019867,0.0996754966887417,0.2251655629139073,0.3443708609271523,0.5695364238410596
Mesenchyme,19,88,107,7.555000000000001,26.931,34.486000000000004,0.39763157894736845,0.3060340909090909,0.3222990654205608,0.17835099337748345,0.05003311258278146,0.12582781456953643,0.5827814569536424,0.7086092715231788
Brain,17,13,30,13.814,14.278,28.092,0.8125882352941176,1.0983076923076924,0.9364,0.09455629139072848,0.09148344370860927,0.11258278145695365,0.08609271523178808,0.1986754966887417
AGM,26,26,52,10.360999999999999,10.360999999999999,20.721999999999998,0.39849999999999997,0.39849999999999997,0.39849999999999997,0.06861589403973509,0.06861589403973509,0.17218543046357615,0.17218543046357615,0.3443708609271523
Cavity,8,1,9,2.889,0.232,3.121,0.361125,0.232,0.3467777777777778,0.0015364238410596027,0.019132450331125827,0.052980132450331126,0.006622516556291391,0.059602649006622516
