邻居细胞,通道数量,总强度,平均强度,最大强度,最小强度
Neural crest,107,47.817,0.44688785046728974,1.797,0.096
Branchial arch,104,44.981999999999985,0.4325192307692306,1.873,0.092
Heart,106,42.61999999999999,0.40207547169811314,1.992,0.113
Connective tissue,81,42.062000000000005,0.519283950617284,1.771,0.109
Sclerotome,96,39.21800000000001,0.40852083333333344,1.003,0.106
Mesenchyme,88,26.931,0.3060340909090909,1.326,0.106
Dermomyotome,61,23.871999999999993,0.39134426229508185,1.304,0.142
Liver,52,21.259,0.4088269230769231,1.256,0.102
AGM_1_24_Target,61,18.728,0.307016393442623,1.148,0.108
Brain,13,14.278,1.0983076923076924,1.421,0.483
AGM,26,10.360999999999999,0.39849999999999997,1.145,0.144
Cavity,1,0.232,0.232,0.232,0.232
