cell_type,cluster_id,cell_num,x,y,distance_to_target,compactness
AGM,single_cluster,128,117.1,158.4,19.0,9.94
Branchial arch,single_cluster,8,114.0,196.4,33.9,2.39
Cavity,single_cluster,202,103.3,168.7,4.8,18.44
Cavity,target,9,99.6,165.7,0.0,0.0
Connective tissue,single_cluster,206,92.4,160.9,8.6,10.12
Dermomyotome,single_cluster,194,111.4,153.4,17.1,15.82
Heart,single_cluster,161,110.7,184.7,22.1,7.82
Liver,single_cluster,2,116.5,157.0,19.0,1.0
Mesenchyme,single_cluster,117,111.5,152.2,18.0,19.89
Neural crest,single_cluster,16,111.2,196.9,33.3,2.6
Sclerotome,single_cluster,4,128.5,158.8,29.8,3.29
