邻居细胞,发送通道数,接收通道数,总通道数,发送总强度,接收总强度,通讯总强度,发送平均强度,接收平均强度,总平均强度
Sclerotome,125,100,225,54.20999999999997,41.949999999999996,96.15999999999997,0.4336799999999998,0.4195,0.42737777777777763
Connective tissue,81,106,187,35.276,41.602999999999994,76.87899999999999,0.4355061728395062,0.39248113207547164,0.4111176470588235
AGM,93,67,160,38.01000000000002,26.987999999999996,64.99800000000002,0.40870967741935504,0.4028059701492537,0.40623750000000014
Dermomyotome,59,59,118,29.13700000000001,29.13700000000001,58.27400000000002,0.49384745762711885,0.49384745762711885,0.49384745762711885
Dermomyotome_1_115_Target,65,33,98,28.915999999999993,17.684999999999995,46.600999999999985,0.44486153846153836,0.5359090909090908,0.47552040816326513
Mesenchyme,41,64,105,19.276,22.641,41.917,0.4701463414634146,0.353765625,0.39920952380952385
Brain,13,13,26,11.38,14.635000000000002,26.015,0.8753846153846154,1.1257692307692309,1.000576923076923
Liver,27,23,50,14.441000000000003,11.128000000000004,25.569000000000006,0.5348518518518519,0.4838260869565219,0.5113800000000002
Cavity,1,0,1,1.298,0.0,1.298,1.298,0.0,1.298
