邻居细胞,通道数量,总强度,平均强度,最大强度,最小强度
Sclerotome,125,54.20999999999997,0.4336799999999998,1.784,0.127
AGM,93,38.01000000000002,0.40870967741935504,1.675,0.12
Connective tissue,81,35.276,0.4355061728395062,1.832,0.122
Dermomyotome,59,29.13700000000001,0.49384745762711885,1.672,0.157
Dermomyotome_1_115_Target,65,28.915999999999993,0.44486153846153836,1.389,0.116
Mesenchyme,41,19.276,0.4701463414634146,1.373,0.145
Liver,27,14.441000000000003,0.5348518518518519,1.768,0.232
Brain,13,11.38,0.8753846153846154,1.702,0.445
Cavity,1,1.298,1.298,1.298,1.298
