邻居细胞,发送通道数,接收通道数,总通道数,发送总强度,接收总强度,通讯总强度,发送平均强度,接收平均强度,总平均强度,细胞接收平均强度,细胞发送平均强度
Heart,31,39,70,16.706000000000003,18.610000000000003,35.316,0.5389032258064517,0.47717948717948727,0.5045142857142858,0.3649019607843138,0.3275686274509805
Connective tissue,8,25,33,3.1279999999999997,16.499,19.627,0.39099999999999996,0.65996,0.5947575757575757,0.3235098039215686,0.06133333333333333
Sclerotome,22,19,41,7.758000000000001,10.17,17.928,0.3526363636363637,0.5352631578947369,0.43726829268292683,0.19941176470588234,0.15211764705882355
Branchial arch,13,15,28,6.162,11.337,17.499,0.474,0.7558,0.6249642857142856,0.2222941176470588,0.1208235294117647
Dermomyotome,5,18,23,2.172,11.891000000000002,14.063000000000002,0.4344,0.6606111111111113,0.6114347826086958,0.2331568627450981,0.04258823529411765
Brain,12,23,35,4.148,6.632000000000001,10.780000000000001,0.3456666666666666,0.2883478260869565,0.30800000000000005,0.13003921568627452,0.08133333333333333
AGM,9,9,18,2.742,7.851,10.593,0.30466666666666664,0.8723333333333333,0.5885,0.15394117647058825,0.053764705882352944
Mesenchyme,2,7,9,0.5680000000000001,7.505,8.073,0.28400000000000003,1.072142857142857,0.897,0.14715686274509804,0.011137254901960785
Neural crest,4,14,18,1.429,5.446,6.875,0.35725,0.38899999999999996,0.3819444444444444,0.10678431372549019,0.028019607843137256
Liver,6,3,9,4.58,2.023,6.603,0.7633333333333333,0.6743333333333333,0.7336666666666667,0.03966666666666667,0.08980392156862745
