邻居细胞,发送通道数,接收通道数,总通道数,发送总强度,接收总强度,通讯总强度,发送平均强度,接收平均强度,总平均强度
Connective tissue,81,204,285,28.808000000000003,72.86699999999999,101.675,0.35565432098765437,0.3571911764705882,0.35675438596491227
Sclerotome,133,119,252,50.71,45.616,96.326,0.3812781954887218,0.38332773109243695,0.3822460317460317
Heart,61,87,148,28.327999999999992,41.744,70.07199999999999,0.4643934426229507,0.47981609195402297,0.4734594594594594
Dermomyotome,60,100,160,23.645999999999994,38.046000000000014,61.69200000000001,0.3940999999999999,0.38046000000000013,0.38557500000000006
AGM,75,75,150,24.494000000000007,24.494000000000007,48.988000000000014,0.32658666666666675,0.32658666666666675,0.32658666666666675
Liver,54,67,121,19.025000000000006,26.858000000000008,45.88300000000001,0.3523148148148149,0.40086567164179115,0.3791983471074381
AGM_1_116_Target,33,70,103,13.834999999999997,26.715000000000007,40.550000000000004,0.41924242424242414,0.38164285714285723,0.39368932038834953
Mesenchyme,23,74,97,8.627,29.80900000000001,38.436000000000014,0.3750869565217392,0.40282432432432447,0.3962474226804125
Brain,16,15,31,13.177999999999997,15.967000000000002,29.145,0.8236249999999998,1.064466666666667,0.9401612903225807
Cavity,2,3,5,0.975,1.431,2.406,0.4875,0.47700000000000004,0.4812
