邻居细胞,通道数量,总强度,平均强度,最大强度,最小强度
Sclerotome,133,50.71,0.3812781954887218,0.827,0.117
Connective tissue,81,28.808000000000003,0.35565432098765437,1.246,0.091
Heart,61,28.327999999999992,0.4643934426229507,2.291,0.18
AGM,75,24.494000000000007,0.32658666666666675,1.145,0.096
Dermomyotome,60,23.645999999999994,0.3940999999999999,1.184,0.118
Liver,54,19.025000000000006,0.3523148148148149,1.381,0.119
AGM_1_116_Target,33,13.834999999999997,0.41924242424242414,1.25,0.164
Brain,16,13.177999999999997,0.8236249999999998,1.449,0.436
Mesenchyme,23,8.627,0.3750869565217392,0.82,0.123
Cavity,2,0.975,0.4875,0.493,0.482
