邻居细胞,通道数量,总强度,平均强度,最大强度,最小强度
Connective tissue,204,72.86699999999999,0.3571911764705882,1.854,0.099
Sclerotome,119,45.616,0.38332773109243695,1.783,0.113
Heart,87,41.744,0.47981609195402297,1.924,0.131
Dermomyotome,100,38.046000000000014,0.38046000000000013,1.67,0.099
Mesenchyme,74,29.80900000000001,0.40282432432432447,1.737,0.129
Liver,67,26.858000000000008,0.40086567164179115,1.703,0.104
AGM_1_116_Target,70,26.715000000000007,0.38164285714285723,1.149,0.109
AGM,75,24.494000000000007,0.32658666666666675,1.145,0.096
Brain,15,15.967000000000002,1.064466666666667,1.449,0.434
Cavity,3,1.431,0.47700000000000004,0.647,0.137
