cell_type,cluster_id,cell_num,x,y,distance_to_target,compactness
AGM,single_cluster,420,123.4,166.7,11.7,16.32
Brain,single_cluster,79,101.5,214.3,42.8,8.74
Branchial arch,single_cluster,18,121.2,195.6,17.6,19.82
Cavity,target,50,124.6,178.3,0.0,0.0
Connective tissue,single_cluster,132,103.5,165.2,24.8,8.96
Dermomyotome,single_cluster,166,127.0,156.0,22.4,15.54
Heart,single_cluster,334,116.4,182.1,9.0,10.61
Liver,single_cluster,96,124.7,170.6,7.7,7.49
Mesenchyme,single_cluster,10,126.8,150.7,27.7,3.0
Neural crest,single_cluster,366,116.0,208.2,31.2,23.59
Notochord,single_cluster,6,114.2,221.5,44.4,4.52
Sclerotome,single_cluster,222,141.7,170.8,18.7,11.08
