邻居细胞,发送通道数,接收通道数,总通道数,发送总强度,接收总强度,通讯总强度,发送平均强度,接收平均强度,总平均强度
Heart,26,28,54,12.262999999999996,14.402999999999999,26.665999999999997,0.47165384615384603,0.5143928571428571,0.49381481481481476
Notochord,19,13,32,9.268,8.307,17.575000000000003,0.48778947368421055,0.639,0.5492187500000001
Branchial arch,18,24,42,6.772,8.353000000000002,15.125000000000002,0.37622222222222224,0.34804166666666675,0.36011904761904767
Connective tissue,5,16,21,2.186,11.456999999999999,13.642999999999999,0.4372,0.7160624999999999,0.6496666666666666
Sclerotome,13,17,30,4.175000000000001,8.973999999999998,13.149,0.32115384615384623,0.5278823529411764,0.43829999999999997
Liver,12,13,25,4.843,8.181000000000001,13.024000000000001,0.40358333333333335,0.6293076923076923,0.5209600000000001
Brain,14,14,28,5.542,6.1979999999999995,11.739999999999998,0.39585714285714285,0.44271428571428567,0.4192857142857142
Dermomyotome,11,13,24,4.039,6.226000000000001,10.265,0.36718181818181816,0.478923076923077,0.42770833333333336
Mesenchyme,5,6,11,2.762,5.061,7.823,0.5524,0.8435,0.7111818181818182
AGM,11,4,15,3.9810000000000003,1.5779999999999998,5.559,0.36190909090909096,0.39449999999999996,0.3706
Neural crest,8,5,13,2.4570000000000003,2.5399999999999996,4.997,0.30712500000000004,0.5079999999999999,0.3843846153846154
Cavity_1_78_Target,5,1,6,1.508,0.271,1.779,0.3016,0.271,0.2965
