邻居细胞,通道数量,总强度,平均强度,最大强度,最小强度
Heart,28,14.402999999999999,0.5143928571428571,2.02,0.198
Connective tissue,16,11.456999999999999,0.7160624999999999,1.831,0.279
Sclerotome,17,8.973999999999998,0.5278823529411764,0.982,0.22
Branchial arch,24,8.353000000000002,0.34804166666666675,0.598,0.112
Notochord,13,8.307,0.639,0.984,0.123
Liver,13,8.181000000000001,0.6293076923076923,1.204,0.197
Dermomyotome,13,6.226000000000001,0.478923076923077,1.241,0.164
Brain,14,6.1979999999999995,0.44271428571428567,0.968,0.303
Mesenchyme,6,5.061,0.8435,1.263,0.496
Neural crest,5,2.5399999999999996,0.5079999999999999,0.945,0.219
AGM,4,1.5779999999999998,0.39449999999999996,0.486,0.223
Cavity_1_78_Target,1,0.271,0.271,0.271,0.271
