邻居细胞,通道数量,总强度,平均强度,最大强度,最小强度
Heart,26,12.262999999999996,0.47165384615384603,2.069,0.125
Notochord,19,9.268,0.48778947368421055,0.881,0.104
Branchial arch,18,6.772,0.37622222222222224,1.09,0.16
Brain,14,5.542,0.39585714285714285,0.853,0.146
Liver,12,4.843,0.40358333333333335,1.183,0.156
Sclerotome,13,4.175000000000001,0.32115384615384623,0.562,0.134
Dermomyotome,11,4.039,0.36718181818181816,0.737,0.193
AGM,11,3.9810000000000003,0.36190909090909096,0.554,0.169
Mesenchyme,5,2.762,0.5524,1.047,0.2
Neural crest,8,2.4570000000000003,0.30712500000000004,0.533,0.13
Connective tissue,5,2.186,0.4372,0.496,0.284
Cavity_1_78_Target,5,1.508,0.3016,0.523,0.151
