cell_type,cluster_id,cell_num,x,y,distance_to_target,compactness
AGM,single_cluster,89,134.4,179.7,10.8,6.17
Brain,single_cluster,133,139.8,202.0,12.2,8.09
Branchial arch,single_cluster,110,126.8,194.0,10.2,7.72
Cavity,single_cluster,33,134.4,183.5,7.1,13.75
Heart,single_cluster,54,125.5,186.7,11.3,5.47
Liver,single_cluster,10,131.0,183.5,8.6,4.77
Neural crest,single_cluster,267,139.2,192.4,3.6,12.16
Neural crest,target,57,136.2,190.3,0.0,0.0
Notochord,single_cluster,46,128.3,204.8,16.5,4.05
Sclerotome,single_cluster,87,146.1,180.0,14.3,6.92
