邻居细胞,通道数量,总强度,平均强度,最大强度,最小强度
Connective tissue,221,77.91100000000002,0.35253846153846163,2.101,0.097
Connective tissue_1_113_Target,189,70.73600000000002,0.37426455026455036,2.001,0.121
AGM,153,59.26299999999996,0.3873398692810455,1.957,0.13
Dermomyotome,125,48.763,0.390104,1.919,0.118
Mesenchyme,81,40.78300000000001,0.503493827160494,1.931,0.146
Cavity,9,6.754,0.7504444444444444,1.666,0.151
