邻居细胞,通道数量,总强度,平均强度,最大强度,最小强度
Neural crest,147,68.01499999999999,0.4626870748299319,1.863,0.162
Heart,149,67.48400000000002,0.4529127516778525,2.194,0.1
Notochord,122,53.76900000000002,0.44072950819672146,1.279,0.124
Branchial arch,116,52.88700000000001,0.4559224137931035,1.976,0.089
Sclerotome,97,47.865000000000016,0.49345360824742285,1.177,0.247
AGM,128,46.484,0.36315625,1.177,0.116
Brain,109,42.98299999999998,0.39433944954128425,1.177,0.101
Neural crest_1_102_Target,73,41.292,0.5656438356164384,1.997,0.174
Mesenchyme,69,31.21999999999998,0.45246376811594174,1.294,0.113
Liver,51,21.616000000000003,0.423843137254902,1.238,0.135
Cavity,8,2.7910000000000004,0.34887500000000005,0.564,0.111
