邻居细胞,通道数量,总强度,平均强度,最大强度,最小强度
Neural crest,147,68.01499999999999,0.4626870748299319,1.863,0.162
Notochord,108,61.69700000000003,0.5712685185185188,1.867,0.107
Branchial arch,103,53.701999999999984,0.5213786407766988,2.025,0.127
Brain,94,46.211,0.4916063829787234,1.769,0.117
AGM,68,39.633999999999986,0.5828529411764704,1.945,0.184
Neural crest_1_102_Target,65,38.562000000000005,0.5932615384615385,1.927,0.158
Heart,72,38.263000000000005,0.5314305555555556,2.455,0.143
Sclerotome,73,37.06500000000001,0.5077397260273975,1.834,0.173
Liver,37,20.097,0.5431621621621622,1.976,0.155
Cavity,24,12.687,0.528625,1.132,0.141
Mesenchyme,25,11.185,0.4474,1.091,0.114
