邻居细胞,发送通道数,接收通道数,总通道数,发送总强度,接收总强度,通讯总强度,发送平均强度,接收平均强度,总平均强度
Neural crest,147,147,294,68.01499999999999,68.01499999999999,136.02999999999997,0.4626870748299319,0.4626870748299319,0.4626870748299319
Notochord,108,122,230,61.69700000000003,53.76900000000002,115.46600000000005,0.5712685185185188,0.44072950819672146,0.502026086956522
Branchial arch,103,116,219,53.701999999999984,52.88700000000001,106.589,0.5213786407766988,0.4559224137931035,0.4867077625570776
Heart,72,149,221,38.263000000000005,67.48400000000002,105.74700000000003,0.5314305555555556,0.4529127516778525,0.47849321266968337
Brain,94,109,203,46.211,42.98299999999998,89.19399999999999,0.4916063829787234,0.39433944954128425,0.4393793103448275
AGM,68,128,196,39.633999999999986,46.484,86.118,0.5828529411764704,0.36315625,0.43937755102040815
Sclerotome,73,97,170,37.06500000000001,47.865000000000016,84.93000000000004,0.5077397260273975,0.49345360824742285,0.49958823529411783
Neural crest_1_102_Target,65,73,138,38.562000000000005,41.292,79.85400000000001,0.5932615384615385,0.5656438356164384,0.5786521739130436
Mesenchyme,25,69,94,11.185,31.21999999999998,42.40499999999998,0.4474,0.45246376811594174,0.45111702127659553
Liver,37,51,88,20.097,21.616000000000003,41.71300000000001,0.5431621621621622,0.423843137254902,0.4740113636363637
Cavity,24,8,32,12.687,2.7910000000000004,15.478,0.528625,0.34887500000000005,0.4836875
