邻居细胞,发送通道数,接收通道数,总通道数,发送总强度,接收总强度,通讯总强度,发送平均强度,接收平均强度,总平均强度,细胞接收平均强度,细胞发送平均强度,平均发送通道数,平均接收通道数,总平均通道数
Connective tissue_1_31_Target,106,203,309,45.128,77.05499999999999,122.18299999999999,0.4257358490566038,0.3795812807881773,0.3954142394822006,1.0138815789473683,0.5937894736842105,1.394736842105263,2.6710526315789473,4.065789473684211
Connective tissue,158,158,316,52.54299999999999,52.54299999999999,105.08599999999998,0.33255063291139236,0.33255063291139236,0.33255063291139236,0.6913552631578946,0.6913552631578946,2.0789473684210527,2.0789473684210527,4.157894736842105
Heart,123,112,235,54.03499999999997,45.70299999999999,99.73799999999996,0.43930894308943064,0.4080624999999999,0.4244170212765956,0.6013552631578946,0.7109868421052628,1.618421052631579,1.4736842105263157,3.0921052631578947
AGM,154,111,265,49.97499999999999,38.259,88.23399999999998,0.3245129870129869,0.3446756756756757,0.33295849056603766,0.5034078947368421,0.657565789473684,2.026315789473684,1.4605263157894737,3.486842105263158
Liver,118,77,195,45.30100000000004,39.28000000000001,84.58100000000005,0.3839067796610173,0.5101298701298702,0.43374871794871817,0.516842105263158,0.5960657894736847,1.5526315789473684,1.013157894736842,2.5657894736842106
Dermomyotome,96,98,194,35.158,38.149999999999984,73.30799999999999,0.36622916666666666,0.3892857142857141,0.3778762886597938,0.5019736842105261,0.46260526315789474,1.263157894736842,1.2894736842105263,2.5526315789473686
Mesenchyme,77,126,203,30.857999999999997,38.201000000000015,69.05900000000001,0.4007532467532467,0.3031825396825398,0.34019211822660106,0.5026447368421054,0.4060263157894736,1.013157894736842,1.6578947368421053,2.6710526315789473
Cavity,12,13,25,6.803,5.0280000000000005,11.831,0.5669166666666666,0.3867692307692308,0.47324,0.06615789473684211,0.08951315789473684,0.15789473684210525,0.17105263157894737,0.32894736842105265
