邻居细胞,通道数量,总强度,平均强度,最大强度,最小强度
Notochord,130,53.99799999999998,0.41536923076923066,1.11,0.112
Neural crest,105,41.698000000000015,0.39712380952380966,1.179,0.114
Brain_1_6_Target,96,39.00099999999999,0.40626041666666657,1.158,0.112
Sclerotome,46,38.70100000000001,0.8413260869565219,1.881,0.431
Branchial arch,71,36.27700000000001,0.510943661971831,1.643,0.135
Brain,80,27.732000000000006,0.34665000000000007,0.737,0.111
Cavity,9,3.7270000000000003,0.41411111111111115,0.53,0.142
