邻居细胞,通道数量,总强度,平均强度,最大强度,最小强度
Heart,160,69.48500000000001,0.43428125000000006,2.096,0.116
Notochord,93,37.91600000000002,0.40769892473118297,0.978,0.143
Branchial arch,86,37.30799999999999,0.433813953488372,1.832,0.099
Neural crest_1_10_Target,78,29.948,0.38394871794871793,1.675,0.193
Sclerotome,37,28.179000000000006,0.7615945945945948,1.699,0.448
Neural crest,46,19.325,0.4201086956521739,0.879,0.12
Brain,40,11.185000000000002,0.27962500000000007,0.749,0.13
AGM,18,9.756999999999998,0.5420555555555554,1.266,0.179
Cavity,5,1.0150000000000001,0.203,0.248,0.109
