邻居细胞,通道数量,总强度,平均强度,最大强度,最小强度
Notochord,29,14.872,0.5128275862068965,0.97,0.248
Heart,24,12.595,0.5247916666666667,2.172,0.166
Branchial arch,14,4.835000000000001,0.3453571428571429,0.636,0.153
Liver,6,4.243,0.7071666666666667,0.933,0.339
Sclerotome,9,3.154,0.35044444444444445,0.615,0.143
Brain,7,3.061,0.4372857142857143,0.66,0.318
Connective tissue,7,2.5650000000000004,0.3664285714285715,0.6,0.136
Neural crest,6,2.082,0.347,0.62,0.133
AGM,5,1.806,0.3612,0.598,0.16
Dermomyotome,4,1.283,0.32075,0.598,0.162
Mesenchyme,2,0.909,0.4545,0.619,0.29
Cavity_1_22_Target,1,0.2,0.2,0.2,0.2
