邻居细胞,发送通道数,接收通道数,总通道数,发送总强度,接收总强度,通讯总强度,发送平均强度,接收平均强度,总平均强度
Notochord,30,35,65,13.875000000000002,16.466000000000005,30.341000000000008,0.4625000000000001,0.47045714285714296,0.4667846153846155
Neural crest,21,10,31,7.237,6.037000000000001,13.274000000000001,0.3446190476190476,0.6037000000000001,0.4281935483870968
Brain,21,9,30,7.034,3.1189999999999998,10.152999999999999,0.33495238095238095,0.3465555555555555,0.3384333333333333
Cavity_1_8_Target,0,3,3,0.0,1.2,1.2,0.0,0.39999999999999997,0.39999999999999997
Cavity,1,1,2,0.273,0.273,0.546,0.273,0.273,0.273
