embedding_name
Heart_2_0
Heart_2_1
Heart_2_2
Heart_2_3
Urogenital ridge_2_4
Urogenital ridge_2_5
Blood vessel_2_6
Blood vessel_2_7
Surface ectoderm_2_8
Sclerotome_2_11
Spinal cord_2_13
Heart_2_14
Connective tissue_2_16
Connective tissue_2_17
Cavity_2_18
Cavity_2_19
Cavity_2_20
Spinal cord_2_21
Surface ectoderm_2_22
Surface ectoderm_2_23
Cavity_2_24
Cavity_2_25
Cavity_2_26
Cavity_2_27
Cavity_2_28
Cavity_2_29
Cavity_2_30
Cavity_2_31
Notochord_1_32
Brain_1_33
Brain_1_34
Brain_1_35
Brain_1_36
Brain_1_37
Brain_1_38
Brain_1_39
Brain_1_40
Cavity_1_41
Brain_1_42
Brain_1_43
Cavity_1_44
Cavity_1_45
Cavity_1_46
Cavity_1_47
Dermomyotome_1_48
Dermomyotome_1_49
AGM_1_50
AGM_1_51
Neural crest_1_52
Neural crest_1_53
Neural crest_1_54
Neural crest_1_55
Heart_1_56
Heart_1_57
Heart_1_58
Heart_1_59
Neural crest_1_60
Connective tissue_1_64
AGM_1_65
Connective tissue_1_66
AGM_1_67
Cavity_1_68
Cavity_1_69
Cavity_1_70
Cavity_1_71
Brain_1_72
Cavity_1_73
Brain_1_74
Neural crest_1_75
Cavity_1_76
Mesenchyme_1_77
Connective tissue_1_78
Mesenchyme_1_79
Spinal cord_2_80
Spinal cord_2_81
Spinal cord_2_82
Spinal cord_2_83
Spinal cord_2_84
Spinal cord_2_85
Spinal cord_2_86
Spinal cord_2_87
Spinal cord_2_88
Spinal cord_2_89
Spinal cord_2_90
Spinal cord_2_91
Spinal cord_2_92
Spinal cord_2_93
Spinal cord_2_94
Spinal cord_2_95
Brain_2_96
Brain_2_97
Brain_2_98
Brain_2_99
Spinal cord_2_100
Spinal cord_2_101
Spinal cord_2_102
Spinal cord_2_103
Cavity_2_104
Cavity_2_105
Cavity_2_106
Cavity_2_107
Brain_2_108
Brain_2_109
Cavity_2_110
Brain_2_111
Sclerotome_2_112
Sclerotome_2_113
Blood vessel_2_114
Sclerotome_2_115
Head mesenchyme_2_116
Cavity_2_117
Head mesenchyme_2_118
Lung primordium_2_119
Lung primordium_2_120
Lung primordium_2_121
Liver_2_122
Urogenital ridge_2_123
Branchial arch_2_124
Connective tissue_2_125
Sclerotome_2_126
Lung primordium_2_127
