path,weight
Sclerotome_1_96 -> Sclerotome_1_97 -> Dermomyotome_1_105 -> Dermomyotome_1_104 -> Branchial arch_1_107 -> Mesenchyme_1_111 -> Mesenchyme_1_109 -> Neural crest_1_10 -> Brain_1_20 -> Brain_1_16 -> Brain_1_8 -> Brain_1_6 -> Brain_1_5 -> Brain_1_7 -> Brain_1_4,775
Sclerotome_1_96 -> Sclerotome_1_97 -> Dermomyotome_1_105 -> Dermomyotome_1_104 -> Branchial arch_1_107 -> Mesenchyme_1_111 -> Mesenchyme_1_109 -> Neural crest_1_10 -> Brain_1_20 -> Brain_1_16 -> Brain_1_8 -> Brain_1_6 -> Brain_1_5 -> Brain_1_7 -> Neural crest_1_14,775
Sclerotome_1_97 -> Dermomyotome_1_105 -> Dermomyotome_1_104 -> Branchial arch_1_107 -> Mesenchyme_1_111 -> Mesenchyme_1_109 -> Neural crest_1_10 -> Brain_1_20 -> Brain_1_16 -> Brain_1_8 -> Brain_1_6 -> Brain_1_5 -> Brain_1_7 -> Neural crest_1_14 -> Brain_1_12,763
Neural crest_1_71 -> Neural crest_1_103 -> Sclerotome_1_100 -> Sclerotome_1_96 -> Sclerotome_1_97 -> Dermomyotome_1_105 -> Dermomyotome_1_104 -> Branchial arch_1_107 -> Mesenchyme_1_111 -> Mesenchyme_1_109 -> Neural crest_1_10 -> Brain_1_5 -> Brain_1_7 -> Brain_1_4,784
Neural crest_1_71 -> Neural crest_1_103 -> Sclerotome_1_100 -> Sclerotome_1_96 -> Sclerotome_1_97 -> Dermomyotome_1_105 -> Dermomyotome_1_104 -> Branchial arch_1_107 -> Mesenchyme_1_111 -> Mesenchyme_1_109 -> Neural crest_1_10 -> Brain_1_8 -> Brain_1_7 -> Brain_1_4,817
Neural crest_1_71 -> Neural crest_1_103 -> Sclerotome_1_100 -> Sclerotome_1_96 -> Sclerotome_1_97 -> Dermomyotome_1_105 -> Dermomyotome_1_104 -> Branchial arch_1_107 -> Mesenchyme_1_111 -> Mesenchyme_1_109 -> Neural crest_1_10 -> Notochord_1_21 -> Brain_1_19 -> Brain_1_17,882
Neural crest_1_71 -> Neural crest_1_103 -> Sclerotome_1_100 -> Sclerotome_1_96 -> Sclerotome_1_97 -> AGM_1_118 -> AGM_1_117 -> AGM_1_116 -> AGM_1_121 -> AGM_1_123 -> Cavity_1_78 -> Cavity_1_76 -> Heart_1_73 -> Heart_1_72,656
Neural crest_1_71 -> Neural crest_1_103 -> Sclerotome_1_100 -> Sclerotome_1_96 -> Sclerotome_1_97 -> AGM_1_118 -> AGM_1_117 -> AGM_1_116 -> AGM_1_121 -> AGM_1_123 -> Cavity_1_78 -> Cavity_1_76 -> Heart_1_75 -> Heart_1_74,701
Neural crest_1_71 -> Neural crest_1_103 -> Sclerotome_1_100 -> Sclerotome_1_96 -> Sclerotome_1_97 -> Dermomyotome_1_105 -> Dermomyotome_1_104 -> Branchial arch_1_107 -> Mesenchyme_1_111 -> Mesenchyme_1_109 -> Neural crest_1_10 -> Brain_1_5 -> Brain_1_2,766
Neural crest_1_71 -> Neural crest_1_103 -> Sclerotome_1_100 -> Sclerotome_1_96 -> Sclerotome_1_97 -> Dermomyotome_1_105 -> Dermomyotome_1_104 -> Branchial arch_1_107 -> Mesenchyme_1_111 -> Mesenchyme_1_109 -> Neural crest_1_10 -> Brain_1_5 -> Brain_1_3,766
Neural crest_1_71 -> Neural crest_1_103 -> Sclerotome_1_100 -> Sclerotome_1_96 -> Sclerotome_1_97 -> Dermomyotome_1_105 -> Dermomyotome_1_104 -> Branchial arch_1_107 -> Mesenchyme_1_111 -> Mesenchyme_1_109 -> Neural crest_1_10 -> Brain_1_20 -> Brain_1_41,775
Neural crest_1_71 -> Neural crest_1_103 -> Sclerotome_1_100 -> Sclerotome_1_96 -> Sclerotome_1_97 -> Dermomyotome_1_105 -> Dermomyotome_1_104 -> Branchial arch_1_107 -> Mesenchyme_1_111 -> Mesenchyme_1_109 -> Neural crest_1_10 -> Notochord_1_21 -> Brain_1_18,792
Neural crest_1_71 -> Neural crest_1_103 -> Sclerotome_1_100 -> Sclerotome_1_96 -> Sclerotome_1_97 -> Dermomyotome_1_105 -> Dermomyotome_1_104 -> Branchial arch_1_107 -> Mesenchyme_1_111 -> Mesenchyme_1_109 -> Neural crest_1_10 -> Notochord_1_21 -> Cavity_1_43,792
Neural crest_1_71 -> Neural crest_1_103 -> Sclerotome_1_100 -> Sclerotome_1_96 -> Sclerotome_1_97 -> AGM_1_118 -> AGM_1_117 -> AGM_1_116 -> AGM_1_121 -> AGM_1_123 -> Cavity_1_78 -> Cavity_1_76 -> Cavity_1_77,585
Neural crest_1_71 -> Neural crest_1_103 -> Sclerotome_1_100 -> Sclerotome_1_96 -> Sclerotome_1_97 -> Dermomyotome_1_105 -> Dermomyotome_1_104 -> Branchial arch_1_107 -> Mesenchyme_1_111 -> Mesenchyme_1_109 -> Neural crest_1_10 -> Neural crest_1_9,737
Neural crest_1_71 -> Neural crest_1_103 -> Sclerotome_1_100 -> Sclerotome_1_96 -> Sclerotome_1_97 -> Dermomyotome_1_105 -> Dermomyotome_1_104 -> Branchial arch_1_107 -> Mesenchyme_1_111 -> Mesenchyme_1_109 -> Neural crest_1_10 -> Neural crest_1_11,737
Neural crest_1_71 -> Neural crest_1_103 -> Sclerotome_1_100 -> Sclerotome_1_96 -> Sclerotome_1_97 -> AGM_1_118 -> AGM_1_117 -> AGM_1_116 -> AGM_1_121 -> AGM_1_123 -> Cavity_1_78 -> Cavity_1_79,553
Brain_1_26 -> Brain_1_24 -> Notochord_1_23 -> Brain_1_22 -> Brain_1_20 -> Brain_1_16 -> Brain_1_8 -> Brain_1_6 -> Brain_1_5 -> Brain_1_7 -> Neural crest_1_14 -> Brain_1_12,537
Cavity_1_40 -> Cavity_1_47 -> Cavity_1_45 -> Brain_1_22 -> Brain_1_20 -> Brain_1_16 -> Brain_1_8 -> Brain_1_6 -> Brain_1_5 -> Brain_1_7 -> Neural crest_1_14 -> Brain_1_12,351
Neural crest_1_71 -> Neural crest_1_103 -> Sclerotome_1_100 -> Sclerotome_1_96 -> Sclerotome_1_97 -> AGM_1_118 -> AGM_1_117 -> AGM_1_116 -> AGM_1_121 -> Connective tissue_1_122 -> Mesenchyme_1_124,512
Neural crest_1_71 -> Neural crest_1_103 -> Sclerotome_1_100 -> Sclerotome_1_96 -> Sclerotome_1_97 -> AGM_1_118 -> AGM_1_117 -> AGM_1_116 -> AGM_1_121 -> Connective tissue_1_122 -> Connective tissue_1_126,512
Brain_1_26 -> Brain_1_24 -> Notochord_1_23 -> Brain_1_22 -> Brain_1_20 -> Brain_1_16 -> Brain_1_8 -> Brain_1_6 -> Brain_1_5 -> Brain_1_7 -> Brain_1_4,496
Brain_1_55 -> Cavity_1_48 -> Cavity_1_49 -> Cavity_1_33 -> Brain_1_16 -> Brain_1_8 -> Brain_1_6 -> Brain_1_5 -> Brain_1_7 -> Neural crest_1_14 -> Brain_1_12,447
Cavity_1_40 -> Cavity_1_47 -> Cavity_1_45 -> Brain_1_22 -> Brain_1_20 -> Brain_1_16 -> Brain_1_8 -> Brain_1_6 -> Brain_1_5 -> Brain_1_7 -> Brain_1_4,310
Neural crest_1_71 -> Neural crest_1_103 -> Sclerotome_1_100 -> Sclerotome_1_96 -> Sclerotome_1_97 -> Dermomyotome_1_105 -> Dermomyotome_1_104 -> Branchial arch_1_107 -> Mesenchyme_1_111 -> Mesenchyme_1_108,597
Neural crest_1_71 -> Neural crest_1_103 -> Sclerotome_1_100 -> Sclerotome_1_96 -> Sclerotome_1_97 -> Dermomyotome_1_105 -> Dermomyotome_1_104 -> Branchial arch_1_107 -> Mesenchyme_1_106 -> Neural crest_1_110,499
