邻居细胞,通道数量,总强度,平均强度,最大强度,最小强度
Heart,41,19.946,0.4864878048780488,2.168,0.184
Notochord,34,14.7,0.43235294117647055,0.936,0.093
Brain,22,8.072,0.36690909090909085,0.933,0.159
Sclerotome,9,6.072,0.6746666666666666,1.149,0.468
Mesenchyme,17,5.573000000000001,0.3278235294117648,0.67,0.18
Branchial arch,16,5.479999999999999,0.3424999999999999,0.606,0.105
Liver,12,4.6209999999999996,0.3850833333333333,1.281,0.19
Dermomyotome,12,4.146999999999999,0.3455833333333333,0.763,0.192
Connective tissue,10,3.657,0.3657,0.543,0.171
Neural crest,10,2.9539999999999997,0.2954,0.572,0.191
AGM,9,2.9219999999999997,0.32466666666666666,0.58,0.206
Cavity_1_79_Target,1,0.171,0.171,0.171,0.171
