邻居细胞,通道数量,总强度,平均强度,最大强度,最小强度
Notochord,23,14.743,0.641,1.187,0.093
Mesenchyme,42,14.213999999999993,0.33842857142857125,1.32,0.16
Sclerotome,21,14.151000000000002,0.6738571428571429,1.186,0.443
Heart,21,13.41,0.6385714285714286,1.988,0.216
Connective tissue,19,12.739000000000003,0.6704736842105264,1.753,0.236
Branchial arch,21,10.862,0.5172380952380953,0.896,0.097
Liver,14,10.815000000000001,0.7725000000000001,1.566,0.228
Dermomyotome,20,10.072,0.5035999999999999,1.319,0.19
Brain,18,6.918000000000001,0.3843333333333334,0.533,0.243
Neural crest,9,4.0200000000000005,0.4466666666666667,0.924,0.208
AGM,3,1.252,0.41733333333333333,0.564,0.287
Cavity_1_79_Target,0,0.0,0.0,0.0,0.0
