邻居细胞,发送通道数,接收通道数,总通道数,发送总强度,接收总强度,通讯总强度,发送平均强度,接收平均强度,总平均强度
Heart,41,21,62,19.946,13.41,33.356,0.4864878048780488,0.6385714285714286,0.538
Notochord,34,23,57,14.7,14.743,29.442999999999998,0.43235294117647055,0.641,0.5165438596491227
Sclerotome,9,21,30,6.072,14.151000000000002,20.223000000000003,0.6746666666666666,0.6738571428571429,0.6741
Mesenchyme,17,42,59,5.573000000000001,14.213999999999993,19.786999999999995,0.3278235294117648,0.33842857142857125,0.33537288135593213
Connective tissue,10,19,29,3.657,12.739000000000003,16.396,0.3657,0.6704736842105264,0.5653793103448276
Branchial arch,16,21,37,5.479999999999999,10.862,16.342,0.3424999999999999,0.5172380952380953,0.4416756756756756
Liver,12,14,26,4.6209999999999996,10.815000000000001,15.436,0.3850833333333333,0.7725000000000001,0.5936923076923077
Brain,22,18,40,8.072,6.918000000000001,14.99,0.36690909090909085,0.3843333333333334,0.37475
Dermomyotome,12,20,32,4.146999999999999,10.072,14.218999999999998,0.3455833333333333,0.5035999999999999,0.4443437499999999
Neural crest,10,9,19,2.9539999999999997,4.0200000000000005,6.974,0.2954,0.4466666666666667,0.36705263157894735
AGM,9,3,12,2.9219999999999997,1.252,4.1739999999999995,0.32466666666666666,0.41733333333333333,0.34783333333333327
Cavity_1_79_Target,1,0,1,0.171,0.0,0.171,0.171,0.0,0.171
