cell_type,cluster_id,cell_num,x,y,distance_to_target,compactness
AGM,single_cluster,196,110.5,160.4,11.6,10.52
Brain,single_cluster,59,102.4,215.2,45.3,7.77
Branchial arch,single_cluster,8,108.4,209.6,40.0,2.88
Cavity,target,60,104.0,169.9,0.0,0.0
Connective tissue,single_cluster,226,97.1,164.2,8.9,11.84
Dermomyotome,single_cluster,72,100.4,153.6,16.7,7.04
Heart,single_cluster,100,111.8,176.4,10.2,5.86
Liver,single_cluster,38,119.9,169.0,16.0,4.25
Mesenchyme,single_cluster,23,84.1,165.8,20.2,4.61
Neural crest,single_cluster,210,108.2,217.8,48.1,8.62
Notochord,single_cluster,9,113.6,223.6,54.5,2.04
Sclerotome,single_cluster,1,108.0,210.0,40.3,0.0
