邻居细胞,发送通道数,接收通道数,总通道数,发送总强度,接收总强度,通讯总强度,发送平均强度,接收平均强度,总平均强度
Heart,61,118,179,33.86000000000001,54.09999999999999,87.96,0.5550819672131149,0.4584745762711863,0.4913966480446927
Notochord,73,115,188,38.77999999999998,43.24300000000003,82.02300000000001,0.5312328767123284,0.376026086956522,0.4362925531914894
AGM,44,110,154,25.799,42.272000000000006,68.071,0.5863409090909091,0.3842909090909091,0.4420194805194805
Neural crest,63,74,137,28.143000000000008,36.42900000000001,64.57200000000002,0.44671428571428584,0.4922837837837839,0.4713284671532848
Brain,48,91,139,25.427,34.95900000000002,60.38600000000002,0.5297291666666667,0.38416483516483535,0.4344316546762591
Branchial arch,46,46,92,24.323999999999995,24.323999999999995,48.64799999999999,0.5287826086956521,0.5287826086956521,0.5287826086956521
Liver,29,74,103,16.81,25.598000000000006,42.408,0.579655172413793,0.345918918918919,0.41172815533980583
Branchial arch_1_66_Target,38,32,70,22.081999999999997,17.217000000000002,39.299,0.5811052631578947,0.5380312500000001,0.5614142857142858
Cavity,6,3,9,3.2879999999999994,1.4300000000000002,4.718,0.5479999999999999,0.47666666666666674,0.5242222222222223
