邻居细胞,通道数量,总强度,平均强度,最大强度,最小强度
Notochord,73,38.77999999999998,0.5312328767123284,1.915,0.123
Heart,61,33.86000000000001,0.5550819672131149,2.591,0.134
Neural crest,63,28.143000000000008,0.44671428571428584,1.891,0.167
AGM,44,25.799,0.5863409090909091,2.151,0.171
Brain,48,25.427,0.5297291666666667,1.942,0.114
Branchial arch,46,24.323999999999995,0.5287826086956521,1.9,0.167
Branchial arch_1_66_Target,38,22.081999999999997,0.5811052631578947,1.976,0.121
Liver,29,16.81,0.579655172413793,1.352,0.169
Cavity,6,3.2879999999999994,0.5479999999999999,1.048,0.178
