邻居细胞,发送通道数,接收通道数,总通道数,发送总强度,接收总强度,通讯总强度,发送平均强度,接收平均强度,总平均强度
Neural crest,157,157,314,72.87400000000001,72.87400000000001,145.74800000000002,0.46416560509554144,0.46416560509554144,0.46416560509554144
Neural crest_1_103_Target,155,130,285,73.686,61.43400000000002,135.12000000000003,0.4753935483870968,0.4725692307692309,0.47410526315789486
Heart,74,93,167,47.805,74.975,122.78,0.6460135135135135,0.8061827956989247,0.7352095808383233
Branchial arch,118,117,235,58.85299999999998,55.888999999999974,114.74199999999996,0.49875423728813545,0.47768376068376045,0.48826382978723387
Sclerotome,94,109,203,45.61999999999999,55.405,101.02499999999999,0.4853191489361701,0.508302752293578,0.49766009852216747
Notochord,94,78,172,55.85099999999998,43.15400000000002,99.005,0.5941595744680849,0.5532564102564105,0.575610465116279
AGM,67,107,174,40.635,48.559000000000005,89.194,0.6064925373134328,0.4538224299065421,0.5126091954022989
Brain,96,98,194,46.036,36.020999999999994,82.05699999999999,0.4795416666666667,0.36756122448979583,0.42297422680412367
Mesenchyme,36,83,119,18.600999999999996,37.416000000000004,56.016999999999996,0.5166944444444443,0.4507951807228916,0.47073109243697475
Liver,31,58,89,20.553000000000004,24.831,45.384,0.6630000000000001,0.4281206896551724,0.5099325842696629
Dermomyotome,12,26,38,10.241,24.656999999999996,34.897999999999996,0.8534166666666666,0.9483461538461537,0.9183684210526315
Cavity,11,2,13,7.872000000000001,0.9269999999999999,8.799000000000001,0.7156363636363637,0.46349999999999997,0.676846153846154
