邻居细胞,发送通道数,接收通道数,总通道数,发送总强度,接收总强度,通讯总强度,发送平均强度,接收平均强度,总平均强度
Notochord,127,130,257,47.326,53.99799999999998,101.32399999999998,0.3726456692913386,0.41536923076923066,0.39425680933852136
Brain_1_6_Target,107,96,203,38.686,39.00099999999999,77.68699999999998,0.36155140186915885,0.40626041666666657,0.3826945812807881
Neural crest,116,105,221,31.408999999999992,41.698000000000015,73.107,0.2707672413793103,0.39712380952380966,0.3308009049773756
Branchial arch,63,71,134,22.936999999999998,36.27700000000001,59.214000000000006,0.36407936507936506,0.510943661971831,0.44189552238805974
Brain,80,80,160,27.732000000000006,27.732000000000006,55.46400000000001,0.34665000000000007,0.34665000000000007,0.34665000000000007
Sclerotome,22,46,68,12.856999999999998,38.70100000000001,51.55800000000001,0.5844090909090908,0.8413260869565219,0.7582058823529413
Cavity,1,9,10,0.258,3.7270000000000003,3.9850000000000003,0.258,0.41411111111111115,0.3985
