邻居细胞,发送通道数,接收通道数,总通道数,发送总强度,接收总强度,通讯总强度,发送平均强度,接收平均强度,总平均强度
Neural crest,132,120,252,52.90500000000001,54.20499999999999,107.11,0.4007954545454546,0.45170833333333327,0.42503968253968255
Sclerotome,125,112,237,45.31399999999999,45.193000000000005,90.507,0.36251199999999995,0.4035089285714286,0.38188607594936713
Branchial arch,89,114,203,39.411,45.324000000000005,84.73500000000001,0.44282022471910115,0.3975789473684211,0.41741379310344834
Heart,72,113,185,28.679000000000006,47.869,76.548,0.3983194444444445,0.4236194690265487,0.413772972972973
Connective tissue,44,95,139,16.845000000000002,43.031,59.876000000000005,0.3828409090909091,0.4529578947368421,0.4307625899280576
Dermomyotome,50,68,118,19.247000000000007,29.853000000000005,49.10000000000001,0.3849400000000001,0.43901470588235303,0.4161016949152543
Liver,42,61,103,16.316999999999997,26.61,42.92699999999999,0.3884999999999999,0.4362295081967213,0.4167669902912621
Mesenchyme,16,70,86,6.211,29.726000000000003,35.937000000000005,0.3881875,0.4246571428571429,0.41787209302325584
AGM_1_99_Target,43,46,89,17.825000000000003,14.533000000000005,32.358000000000004,0.4145348837209303,0.31593478260869573,0.3635730337078652
Brain,20,14,34,16.137999999999998,15.257,31.394999999999996,0.8069,1.0897857142857144,0.9233823529411763
AGM,38,38,76,13.306000000000001,13.306000000000001,26.612000000000002,0.3501578947368421,0.3501578947368421,0.3501578947368421
Cavity,7,1,8,2.236,0.163,2.399,0.31942857142857145,0.163,0.299875
