邻居细胞,通道数量,总强度,平均强度,最大强度,最小强度
Neural crest,120,54.20499999999999,0.45170833333333327,1.879,0.097
Heart,113,47.869,0.4236194690265487,2.011,0.138
Branchial arch,114,45.324000000000005,0.3975789473684211,1.762,0.099
Sclerotome,112,45.193000000000005,0.4035089285714286,1.023,0.091
Connective tissue,95,43.031,0.4529578947368421,1.77,0.107
Dermomyotome,68,29.853000000000005,0.43901470588235303,1.695,0.098
Mesenchyme,70,29.726000000000003,0.4246571428571429,1.326,0.101
Liver,61,26.61,0.4362295081967213,1.71,0.102
Brain,14,15.257,1.0897857142857144,1.437,0.475
AGM_1_99_Target,46,14.533000000000005,0.31593478260869573,0.827,0.111
AGM,38,13.306000000000001,0.3501578947368421,1.145,0.098
Cavity,1,0.163,0.163,0.163,0.163
