邻居细胞,通道数量,总强度,平均强度,最大强度,最小强度
Notochord,84,42.34699999999999,0.5041309523809522,1.747,0.128
Branchial arch,67,28.529999999999998,0.425820895522388,1.831,0.12
Heart,49,23.83,0.48632653061224485,2.388,0.109
Brain,20,12.273,0.61365,1.35,0.123
Sclerotome,15,9.649999999999999,0.6433333333333332,1.408,0.46
Neural crest_1_93_Target,14,9.412999999999998,0.6723571428571428,1.488,0.31
Neural crest,21,8.116,0.3864761904761905,0.989,0.153
AGM,15,7.255999999999999,0.4837333333333333,0.721,0.217
Cavity,9,2.4859999999999998,0.2762222222222222,0.583,0.164
