邻居细胞,发送通道数,接收通道数,总通道数,发送总强度,接收总强度,通讯总强度,发送平均强度,接收平均强度,总平均强度
Heart,19,16,35,10.831000000000001,11.221999999999998,22.052999999999997,0.5700526315789475,0.7013749999999999,0.6300857142857142
Connective tissue,2,14,16,0.5489999999999999,13.357000000000001,13.906,0.27449999999999997,0.9540714285714287,0.869125
Dermomyotome,6,11,17,2.067,9.256,11.323,0.34450000000000003,0.8414545454545455,0.6660588235294118
Mesenchyme,3,9,12,0.7130000000000001,6.946000000000001,7.659000000000001,0.2376666666666667,0.7717777777777779,0.6382500000000001
AGM,4,7,11,1.3639999999999999,6.1,7.4639999999999995,0.34099999999999997,0.8714285714285713,0.6785454545454545
Brain,8,8,16,2.835,2.9739999999999998,5.808999999999999,0.354375,0.37174999999999997,0.36306249999999995
Liver,5,2,7,3.034,1.3450000000000002,4.379,0.6068,0.6725000000000001,0.6255714285714286
Sclerotome,6,1,7,2.102,1.003,3.1049999999999995,0.35033333333333333,1.003,0.4435714285714285
Neural crest,1,2,3,0.315,0.7849999999999999,1.0999999999999999,0.315,0.39249999999999996,0.36666666666666664
Cavity_1_82_Target,1,0,1,0.713,0.0,0.713,0.713,0.0,0.713
