邻居细胞,发送通道数,接收通道数,总通道数,发送总强度,接收总强度,通讯总强度,发送平均强度,接收平均强度,总平均强度
Connective tissue,230,230,460,76.81400000000006,76.81400000000006,153.62800000000013,0.33397391304347857,0.33397391304347857,0.33397391304347857
Connective tissue_1_120_Target,128,100,228,54.379000000000005,46.559999999999995,100.939,0.42483593750000004,0.46559999999999996,0.4427149122807017
AGM,172,107,279,59.20299999999998,37.64800000000001,96.851,0.3442034883720929,0.35185046728971975,0.34713620071684587
Dermomyotome,118,110,228,46.00599999999999,43.81399999999999,89.82,0.38988135593220336,0.39830909090909083,0.3939473684210526
Mesenchyme,87,60,147,48.12700000000003,27.737000000000005,75.86400000000003,0.5531839080459774,0.46228333333333343,0.5160816326530614
Cavity,28,8,36,14.674999999999999,2.88,17.555,0.5241071428571428,0.36,0.4876388888888889
