邻居细胞,发送通道数,接收通道数,总通道数,发送总强度,接收总强度,通讯总强度,发送平均强度,接收平均强度,总平均强度
Neural crest_1_68_Target,87,145,232,47.13400000000001,70.91,118.04400000000001,0.5417701149425288,0.48903448275862066,0.5088103448275862
Neural crest,111,111,222,53.976000000000006,53.976000000000006,107.95200000000001,0.4862702702702703,0.4862702702702703,0.4862702702702703
Heart,78,144,222,40.492000000000004,62.85500000000001,103.34700000000001,0.5191282051282052,0.4364930555555556,0.4655270270270271
Notochord,79,118,197,46.977,52.62800000000001,99.605,0.5946455696202532,0.44600000000000006,0.5056091370558375
Branchial arch,86,103,189,44.33500000000001,48.96,93.29500000000002,0.5155232558139535,0.4753398058252427,0.4936243386243387
AGM,63,130,193,36.974999999999994,48.518999999999984,85.49399999999997,0.5869047619047618,0.3732230769230768,0.4429740932642486
Brain,95,102,197,47.62199999999998,34.512000000000015,82.13399999999999,0.5012842105263156,0.33835294117647075,0.4169238578680202
Sclerotome,59,87,146,31.11499999999999,42.88400000000001,73.999,0.5273728813559321,0.49291954022988516,0.5068424657534246
Liver,23,50,73,14.786,20.5,35.286,0.6428695652173912,0.41,0.48336986301369866
Cavity,23,9,32,11.652,3.505,15.157,0.5066086956521739,0.3894444444444444,0.47365625
