邻居细胞,通道数量,总强度,平均强度,最大强度,最小强度
Neural crest,111,53.976000000000006,0.4862702702702703,1.886,0.136
Brain,95,47.62199999999998,0.5012842105263156,1.791,0.134
Neural crest_1_68_Target,87,47.13400000000001,0.5417701149425288,1.922,0.138
Notochord,79,46.977,0.5946455696202532,1.861,0.132
Branchial arch,86,44.33500000000001,0.5155232558139535,2.03,0.14
Heart,78,40.492000000000004,0.5191282051282052,2.483,0.131
AGM,63,36.974999999999994,0.5869047619047618,1.988,0.141
Sclerotome,59,31.11499999999999,0.5273728813559321,1.852,0.136
Liver,23,14.786,0.6428695652173912,2.0,0.198
Cavity,23,11.652,0.5066086956521739,1.088,0.141
