邻居细胞,通道数量,总强度,平均强度,最大强度,最小强度
Neural crest_1_68_Target,145,70.91,0.48903448275862066,1.922,0.154
Heart,144,62.85500000000001,0.4364930555555556,2.191,0.128
Neural crest,111,53.976000000000006,0.4862702702702703,1.886,0.136
Notochord,118,52.62800000000001,0.44600000000000006,1.19,0.111
Branchial arch,103,48.96,0.4753398058252427,1.988,0.108
AGM,130,48.518999999999984,0.3732230769230768,1.131,0.137
Sclerotome,87,42.88400000000001,0.49291954022988516,1.15,0.125
Brain,102,34.512000000000015,0.33835294117647075,1.133,0.104
Liver,50,20.5,0.41,0.877,0.149
Cavity,9,3.505,0.3894444444444444,0.584,0.121
