邻居细胞,通道数量,总强度,平均强度,最大强度,最小强度
Connective tissue,17,11.885,0.6991176470588235,1.773,0.218
Notochord,20,11.720999999999998,0.58605,0.97,0.255
Heart,17,11.408000000000001,0.6710588235294118,1.962,0.23
Dermomyotome,11,4.877,0.44336363636363635,1.27,0.187
Sclerotome,11,4.167,0.3788181818181818,0.633,0.198
Branchial arch,5,3.709,0.7418,1.348,0.269
Liver,5,2.455,0.491,0.662,0.256
Mesenchyme,2,1.47,0.735,1.163,0.307
Neural crest,2,0.837,0.4185,0.566,0.271
Brain,1,0.584,0.584,0.584,0.584
AGM,1,0.54,0.54,0.54,0.54
Cavity_1_22_Target,0,0.0,0.0,0.0,0.0
